hostId,cpuCapacity,freeCpu,memCapacity,freeMem
5,0.5,0.1362,0.2493,0.00257
6,0.5,0.12756,0.2493,0.02951
7,0.5,0.05821,0.2493,0.014171
10,0.5,0.232552,0.2493,0.034527
13,0.5,0.26251,0.2493,0.055615
14,0.5,0.16122,0.2493,0.01432
19,0.5,0.3118,0.2493,0.0489
21,0.5,0.13059,0.2493,0.03225
23,0.5,0.246886,0.2493,0.041469
25,0.5,0.11175,0.2493,8.8E-4
26,0.5,0.25,0.2493,0.01691
27,0.5,0.11245,0.2493,8.8E-4
28,0.5,0.25,0.2493,0.03142
36,0.5,0.14945,0.2493,0.00437
37,0.5,0.0307,0.2493,0.02218
38,0.5,0.033584,0.2493,0.031107
39,0.5,0.02987,0.2493,0.04325
41,0.5,0.189972,0.2493,0.034058
43,0.5,0.25,0.2493,0.03527
45,0.5,0.225012,0.2493,0.03525
46,0.5,0.25,0.2493,0.03527
49,0.5,0.275002,0.2493,0.059245
52,0.5,0.17371,0.2493,0.01804
54,0.5,0.25,0.2493,0.03527
56,0.5,0.125,0.2493,0.209733
60,0.5,0.1442629,0.2493,0.027761
61,0.5,0.0494,0.2493,0.00309
62,0.5,0.20496,0.2493,0.02738
63,0.5,0.09682,0.2493,0.02194
67,0.5,0.07999,0.2493,0.01024
68,0.5,0.28125,0.2493,0.04165
72,0.5,0.16499,0.2493,0.02063
73,0.5,0.11565,0.2493,0.03147
74,0.5,0.11877,0.2493,0.03128
75,0.5,0.12756,0.2493,0.02951
121306,0.5,0.05249,0.2493,0.015261
243096,0.5,0.1268,0.2493,0.00714
381113,0.5,0.11504,0.4995,0.2796
381126,0.5,0.1343,0.4995,0.33467
381128,0.5,0.10437,0.4995,0.342499
381129,0.5,0.08813,0.4995,0.295872
381133,0.5,0.06311,0.4995,0.26388
381139,0.5,0.0361,0.4995,0.05169
381227,0.5,0.05295,0.4995,0.11431
381233,0.5,0.150002,0.4995,0.452403
381234,0.5,0.04622,0.4995,0.100604
381235,0.5,0.19235,0.4995,0.0344
381236,0.5,0.04066,0.4995,0.12009
381352,0.5,0.03125,0.4995,0.03421
381361,0.5,0.04187,0.2493,0.055515
381364,0.5,0.04172,0.4995,0.09984
381365,0.5,0.13135,0.4995,0.35811
381368,0.5,0.25,0.4995,0.0698
381369,0.5,0.03125,0.4995,0.0361
381370,0.5,0.125,0.4995,0.34626
381371,0.5,0.125032,0.4995,0.374742
381374,0.5,0.09378,0.4995,0.26672
381378,0.5,0.05435,0.4995,0.12545
381381,0.5,0.09375,0.4995,0.2659
381384,0.5,0.13925,0.4995,0.35228
381386,0.5,0.19235,0.4995,0.0344
381389,0.5,0.0317,0.4995,0.122693
410692,0.5,0.10302,0.4995,0.293034
