hostId,cpuCapacity,freeCpu,memCapacity,freeMem
5,0.5,0.18753,0.2493,0.00427
6,0.5,0.06506,0.2493,4.3E-4
7,0.5,0.0607006,0.2493,6.66E-5
10,0.5,0.066846,0.2493,1.4E-5
13,0.5,0.146919,0.2493,2.55E-4
14,0.5,0.100052,0.2493,5.4E-4
19,0.5,0.09632,0.2493,7.05E-4
21,0.5,0.19376,0.2493,0.002984
23,0.5,0.0243773,0.2493,2.418E-4
25,0.5,0.0937353,0.2493,1.848E-4
26,0.5,0.21805,0.2493,0.002274
27,0.5,0.1238006,0.2493,0.0026266
28,0.5,0.11877,0.2493,2.91E-4
36,0.5,0.0893739,0.2493,2.86E-5
37,0.5,0.0,0.2493,0.00171
38,0.5,0.10626,0.2493,4.83E-4
39,0.5,0.0037753,0.2493,6.828E-4
41,0.5,4.2E-5,0.2493,0.00869
43,0.5,0.243752,0.2493,0.002004
45,0.5,0.19376,0.2493,0.002984
46,0.5,0.0862559,0.2493,9.84E-5
49,0.5,0.13812,0.2493,1.33E-4
52,0.5,0.146262,0.2493,1.51E-4
54,0.5,0.1237679,0.2493,6.704E-4
56,0.5,5.932E-4,0.2493,0.0657342
60,0.5,0.0688853,0.2493,1.408E-4
61,0.5,0.0968406,0.2493,5.736E-4
62,0.5,0.0050446,0.2493,5.664E-4
63,0.5,0.1118453,0.2493,7.828E-4
67,0.5,0.1813,0.2493,0.00172
68,0.5,6.377E-4,0.2493,7.92E-5
72,0.5,1.46E-5,0.2493,0.0021666
73,0.5,0.0111126,0.2493,2.604E-4
74,0.5,0.0067946,0.2493,1.39E-4
75,0.5,0.0894406,0.2493,2.086E-4
121306,0.5,0.0367593,0.2493,6.29E-4
243096,0.5,0.16251,0.2493,0.00251
381113,0.5,0.0124953,0.4995,0.26577
381126,0.5,0.0286026,0.4995,5.814E-4
381128,0.5,0.005612,0.4995,0.170863
381129,0.5,6.32E-4,0.4995,0.183358
381133,0.5,5.2E-5,0.4995,0.023231
381139,0.5,0.1030059,0.4995,3.514E-4
381227,0.5,6.216E-4,0.4995,9.156E-4
381233,0.5,0.0037459,0.4995,0.0927068
381234,0.5,0.0037169,0.4995,0.0889344
381235,0.5,3.0E-5,0.4995,0.13617
