hostId,cpuCapacity,freeCpu,memCapacity,freeMem
5,0.5,0.15625,0.2493,0.00235
6,0.5,0.0643953,0.2493,9.1E-4
7,0.5,0.13758,0.2493,3.97E-4
10,0.5,0.02942,0.2493,8.96E-4
13,0.5,0.132152,0.2493,0.001158
14,0.5,0.07501,0.2493,0.002293
19,0.5,6.843E-4,0.2493,0.00295
21,0.5,0.08129,0.2493,3.3E-4
23,0.5,0.10316,0.2493,0.002922
25,0.5,0.0875173,0.2493,0.001745
26,0.5,0.0702653,0.2493,0.002392
27,0.5,0.21805,0.2493,0.00419
28,0.5,0.06625,0.2493,0.001764
36,0.5,0.226911,0.2493,0.001697
37,0.5,0.12491,0.2493,2.64E-4
38,0.5,0.006297,0.2493,4.653E-4
39,0.5,0.12121,0.2493,0.003835
41,0.5,0.20087,0.2493,0.003014
43,0.5,0.12561,0.2493,6.94E-4
45,0.5,0.0021353,0.2493,0.073029
46,0.5,0.0994553,0.2493,5.62E-4
49,0.5,2.493E-4,0.2493,0.062653
52,0.5,0.093784,0.2493,1.28E-5
54,0.5,0.0043259,0.2493,1.63E-4
56,0.5,0.03698,0.2493,4.4E-5
60,0.5,0.09436,0.2493,0.001074
61,0.5,0.2493,0.2493,0.00117
62,0.5,0.0556953,0.2493,7.3E-5
63,0.5,6.153E-4,0.2493,0.055248
67,0.5,0.0027256,0.2493,0.0022196
68,0.5,6.5E-4,0.2493,0.001492
72,0.5,0.12625,0.2493,0.00219
73,0.5,0.011782,0.2493,0.0015948
74,0.5,6.1E-4,0.2493,0.01308
75,0.5,0.081226,0.2493,0.001902
121306,0.5,0.00933,0.2493,0.118374
243096,0.5,0.0730706,0.2493,1.93E-4
381113,0.5,0.0012626,0.4995,0.09469
381126,0.5,0.0056013,0.4995,0.00253
381128,0.5,0.0,0.4995,0.00919
381129,0.5,4.6E-5,0.4995,0.0028678
381133,0.5,0.0025153,0.4995,0.121017
381139,0.5,0.0,0.4995,0.25109
381227,0.5,0.00934,0.4995,0.260401
381233,0.5,6.0E-5,0.4995,0.24062
381234,0.5,0.003071,0.4995,0.105491
381235,0.5,0.0011953,0.4995,0.002117
381236,0.5,1.201E-4,0.4995,0.028013
381352,0.5,1.4E-5,0.4995,0.017239
381361,0.5,0.0018453,0.2493,0.001313
381364,0.5,0.00133,0.4995,0.204681
381365,0.5,2.7E-5,0.4995,0.21819
381368,0.5,0.0032463,0.4995,6.17E-4
381369,0.5,0.00374,0.4995,0.314464
381370,0.5,0.00687,0.4995,0.319773
381371,0.5,1.269E-4,0.4995,4.01E-4
381374,0.5,8.0E-5,0.4995,0.128363
381378,0.5,0.0018516,0.4995,0.001896
381381,0.5,2.0E-6,0.4995,0.203313
381384,0.5,0.0029763,0.4995,0.003196
381386,0.5,0.003031,0.4995,0.15146
381389,0.5,0.03615,0.4995,0.003637
410692,0.5,0.006282,0.4995,0.246452
410695,0.5,0.005671,0.4995,0.211648
418535,0.5,0.001768,0.4995,0.207232
418536,0.5,0.001219,0.4995,6.73E-4
418547,0.5,0.00357,0.4995,3.63E-4
418548,0.5,0.0087753,0.4995,0.170209
418549,0.5,0.0023439,0.4995,9.488E-4
418551,0.5,0.001756,0.4995,3.56E-4
418552,0.5,5.0E-5,0.4995,0.217593
418559,0.5,0.001088,0.4995,4.04E-4
418560,0.5,6.753E-4,0.4995,0.10285
418561,0.5,0.0,0.4995,0.33861
418562,0.5,0.00257,0.4995,0.203213
418564,0.5,3.2E-5,0.4995,0.114585
418565,0.5,0.0,0.4995,0.15116
418566,0.5,0.00374,0.4995,0.30525
418570,0.5,0.0042153,0.4995,0.087957
418572,0.5,0.00213,0.4995,0.302536
418574,0.5,0.00622,0.4995,0.369404
418581,0.5,1.16E-5,0.4995,0.119515
418583,0.5,2.763E-4,0.4995,0.099777
418584,0.5,0.0011253,0.4995,9.57E-4
418585,0.5,0.00628,0.4995,0.272691
418586,0.5,0.00647,0.4995,0.160224
418588,0.5,0.00935,0.4995,0.251659
418589,0.5,0.00122,0.4995,0.15916
418689,0.5,0.0069,0.4995,0.251294
418690,0.5,0.0,0.4995,0.00919
418691,0.5,0.0,0.4995,0.395494
418695,0.5,0.0,0.4995,0.00726
418697,0.5,0.00313,0.4995,0.003393
418708,0.5,0.00309,0.4995,0.17786
421565,0.5,0.001754,0.4995,8.346E-4
421569,0.5,1.18E-4,0.4995,0.035744
421571,0.5,1.11E-4,0.4995,0.189153
421574,0.5,0.0024826,0.4995,1.25E-4
421578,0.5,1.3E-5,0.4995,0.0029428
421587,0.5,5.23E-4,0.4995,0.018303
421592,0.5,0.0,0.4995,0.0028
421593,0.5,0.0056653,0.4995,0.001985
422053,0.5,5.0E-5,0.4995,0.144723
422055,0.5,0.0025053,0.4995,0.266369
422069,0.5,0.00933,0.4995,0.368574
422080,0.5,0.00264,0.4995,0.00261
422082,0.5,0.0029659,0.4995,0.003781
422084,0.5,0.00368,0.4995,0.259611
422087,0.5,6.113E-4,0.4995,0.227494
422090,0.5,0.001551,0.4995,0.082926
422091,0.5,2.0E-6,0.4995,0.006017
450799,0.5,0.0058726,0.4995,0.190073
485231,0.5,0.003146,0.4995,0.205455
485241,0.5,0.0031313,0.4995,0.080225
486699,0.5,1.4E-5,0.4995,0.025737
486702,0.5,0.003111,0.4995,0.186343
486703,0.5,0.0031373,0.4995,0.003487
486704,0.5,1.0E-5,0.4995,0.106033
486707,0.5,0.002572,0.4995,0.111563
486711,0.5,8.2E-5,0.4995,0.00721
486805,0.5,3.53E-5,0.4995,0.10025
486816,0.5,0.0037216,0.4995,0.125164
486820,0.5,0.0012426,0.4995,0.10753
486821,0.5,5.93E-4,0.4995,0.001368
486826,0.5,6.1E-4,0.4995,0.14963
486827,0.5,0.0019263,0.4995,0.115647
486956,0.5,0.0056053,0.4995,0.207379
486957,0.5,0.00305,0.4995,0.270198
486958,0.5,0.1081353,0.4995,6.83E-4
486959,0.5,0.0055953,0.4995,0.06596
486961,0.5,0.003243,0.4995,0.002303
487295,0.5,0.00397,0.4995,0.24178
487385,0.5,0.0036326,0.4995,0.068292
487386,0.5,4.72E-4,0.4995,0.03755
487390,0.5,0.0018,0.4995,0.188658
487391,0.5,0.0167853,0.4995,4.39E-4
487397,0.5,0.00523,0.4995,0.212293
487399,0.5,4.473E-4,0.4995,0.004165
487402,0.5,0.03759,0.4995,3.95E-4
487403,0.5,0.001772,0.4995,0.103057
487404,0.5,0.0012346,0.4995,0.001819
487407,0.5,0.1868753,0.4995,0.004609
487411,0.5,0.0029506,0.4995,0.065659
487414,0.5,6.4E-4,0.4995,0.33748
487535,0.5,6.683E-4,0.4995,0.143553
487538,0.5,3.2E-5,0.4995,0.0199758
487541,0.5,8.553E-4,0.4995,0.161084
487545,0.5,0.0012206,0.4995,0.003137
487547,0.5,0.002462,0.4995,0.124896
487548,0.5,0.0020073,0.4995,0.12422
495767,0.5,1.0E-5,0.4995,0.137855
514995,0.5,0.031196,0.4995,9.528E-4
