hostId,cpuCapacity,freeCpu,memCapacity,freeMem
5,0.5,0.3125,0.2493,0.04747
6,0.5,0.21805,0.2493,0.00419
7,0.5,0.01868,0.2493,0.00873
10,0.5,0.28125,0.2493,0.03621
13,0.5,0.25,0.2493,0.03527
14,0.5,0.21875,0.2493,0.035432
19,0.5,0.1144686,0.2493,0.018595
21,0.5,0.1236353,0.2493,0.023669
23,0.5,0.00307,0.2493,0.041432
25,0.5,0.04981,0.2493,0.08487
26,0.5,0.19373,0.2493,0.02384
27,0.5,0.25,0.2493,0.020178
28,0.5,0.131261,0.2493,0.009441
36,0.5,0.12997,0.2493,0.00867
37,0.5,0.11879,0.2493,0.033605
38,0.5,0.13317,0.2493,0.02023
39,0.5,0.1207353,0.2493,0.023099
41,0.5,0.08683,0.2493,0.00407
43,0.5,0.26562,0.2493,0.04415
45,0.5,0.1978,0.2493,0.00313
46,0.5,0.20625,0.2493,0.026924
49,0.5,0.21875,0.2493,0.038541
52,0.5,0.25061,0.2493,0.03139
54,0.5,0.01182,0.2493,0.02678
56,0.5,0.28125,0.2493,0.04945
60,0.5,0.240628,0.2493,0.022841
61,0.5,0.025002,0.2493,0.006586
62,0.5,0.1362,0.2493,0.00257
63,0.5,0.125,0.2493,0.18887
67,0.5,0.28125,0.2493,0.04295
68,0.5,0.244362,0.2493,0.027415
72,0.5,0.28125,0.2493,0.04295
73,0.5,0.26874,0.2493,0.05562
74,0.5,0.13059,0.2493,0.03268
75,0.5,0.21805,0.2493,0.00419
121306,0.5,0.09375,0.2493,0.02026
243096,0.5,0.14822,0.2493,0.0224
381113,0.5,0.07764,0.4995,0.18789
381126,0.5,0.04241,0.4995,0.057461
381128,0.5,0.041176,0.4995,0.021258
381129,0.5,0.2487506,0.4995,0.066618
381133,0.5,0.05627,0.4995,0.279871
381139,0.5,0.05734,0.4995,0.04174
381227,0.5,0.0868773,0.4995,0.241344
381233,0.5,0.021901,0.4995,0.058673
381234,0.5,0.056732,0.4995,0.186343
381235,0.5,0.112522,0.4995,0.265498
381236,0.5,0.0468,0.4995,0.11464
381352,0.5,0.05413,0.4995,0.01952
381361,0.5,0.206296,0.2493,0.040665
381364,0.5,0.11188,0.4995,0.32107
381365,0.5,0.11739,0.4995,0.05166
381368,0.5,0.025012,0.4995,0.059026
381369,0.5,0.07549,0.4995,0.28648
381370,0.5,0.06808,0.4995,0.22066
381371,0.5,0.100012,0.4995,0.307887
381374,0.5,0.03125,0.4995,0.181411
381378,0.5,0.0666793,0.4995,0.183391
381381,0.5,0.13751,0.4995,0.348912
381384,0.5,0.0625,0.4995,0.40538
381386,0.5,0.07129,0.4995,0.20354
381389,0.5,0.017396,0.4995,0.01525
410692,0.5,0.1462,0.4995,0.34684
410695,0.5,0.070502,0.4995,0.224865
418535,0.5,0.1599753,0.4995,0.421489
418536,0.5,0.09436,0.4995,0.27471
418547,0.5,0.105008,0.4995,0.291803
418548,0.5,0.06245,0.4995,0.03187
418549,0.5,0.05622,0.4995,0.01105
418551,0.5,0.04065,0.4995,0.14043
418552,0.5,0.019902,0.4995,0.029318
418559,0.5,0.105026,0.4995,0.010098
418560,0.5,0.155618,0.4995,0.41106
418561,0.5,0.12183,0.4995,0.409081
418562,0.5,0.03126,0.4995,0.01572
418564,0.5,0.125,0.4995,0.41198
418565,0.5,0.08752,0.4995,0.25753
418566,0.5,0.1606,0.4995,0.42308
418570,0.5,0.05489,0.4995,0.205509
418572,0.5,0.09685,0.4995,0.3228
418574,0.5,0.164231,0.4995,0.424946
418581,0.5,0.08747,0.4995,1.4E-4
418583,0.5,0.1204753,0.4995,0.331659
418584,0.5,0.151268,0.4995,0.42773
418585,0.5,0.08441,0.4995,0.201933
418586,0.5,0.0299,0.4995,0.03262
418588,0.5,0.1218,0.4995,0.2745
418589,0.5,0.02502,0.4995,0.0165
418689,0.5,0.07562,0.4995,0.31016
418690,0.5,0.12495,0.4995,0.32652
418691,0.5,0.01059,0.4995,0.068423
418695,0.5,0.100026,0.4995,0.036191
418697,0.5,0.13751,0.4995,0.337391
418708,0.5,0.1157,0.4995,0.27987
421565,0.5,0.08124,0.4995,0.23907
421569,0.5,0.060638,0.4995,0.193352
421571,0.5,0.05622,0.4995,0.01105
421574,0.5,0.25,0.4995,0.0698
421578,0.5,0.04688,0.4995,0.12024
421587,0.5,0.106222,0.4995,0.311876
421592,0.5,0.087502,0.4995,0.287005
421593,0.5,0.07129,0.4995,0.325971
422053,0.5,0.125,0.4995,0.41198
422055,0.5,0.11877,0.4995,0.372813
422069,0.5,0.06567,0.4995,0.02891
422080,0.5,0.06567,0.4995,0.231981
422082,0.5,0.0573753,0.4995,0.007869
422084,0.5,0.06449,0.4995,0.19314
422087,0.5,0.125,0.4995,0.459933
422090,0.5,0.10627,0.4995,0.257781
422091,0.5,0.07755,0.4995,0.18739
450799,0.5,0.24106,0.4995,0.07595
485231,0.5,0.12183,0.4995,0.34524
485241,0.5,0.06305,0.4995,0.122361
486699,0.5,0.1181453,0.4995,0.324439
486702,0.5,0.087502,0.4995,0.19594
486703,0.5,0.02497,0.4995,0.01594
486704,0.5,0.044952,0.4995,0.0048855
486707,0.5,0.11877,0.4995,0.27755
486711,0.5,0.1606,0.4995,0.42308
486805,0.5,0.07183,0.4995,0.214441
486816,0.5,0.0625,0.4995,0.2210863
486820,0.5,0.129372,0.4995,0.332328
486821,0.5,0.125,0.4995,0.41198
486826,0.5,0.228564,0.4995,0.069644
486827,0.5,0.19235,0.4995,0.0344
486956,0.5,0.19235,0.4995,0.0344
486957,0.5,0.04004,0.4995,0.05576
486958,0.5,0.0719,0.4995,0.19078
486959,0.5,0.1144131,0.4995,0.300476
486961,0.5,0.118752,0.4995,0.332729
487295,0.5,0.12229,0.4995,0.04747
487385,0.5,0.0931573,0.4995,0.203589
487386,0.5,0.057595,0.4995,0.004916
487390,0.5,0.09624,0.4995,0.32527
487391,0.5,0.01803,0.4995,0.04495
487397,0.5,0.04248,0.4995,0.02307
487399,0.5,0.02073,0.4995,0.064403
487402,0.5,0.1200033,0.4995,0.408215
487403,0.5,0.05066,0.4995,0.13192
487404,0.5,0.07501,0.4995,0.208023
487407,0.5,0.05004,0.4995,0.01928
487411,0.5,0.0419973,0.4995,0.122144
487414,0.5,0.125,0.4995,0.32851
487535,0.5,0.090062,0.4995,0.252253
487538,0.5,0.0593,0.4995,0.276058
487541,0.5,0.15625,0.4995,0.43975
487545,0.5,0.09228,0.4995,0.293425
487547,0.5,0.01635,0.4995,0.078257
487548,0.5,0.02675,0.4995,0.03497
495767,0.5,0.079892,0.4995,0.243276
514995,0.5,0.04994,0.4995,0.15566
514996,0.5,0.021043,0.4995,0.041765
567335,0.5,0.0531,0.4995,0.1124
567336,0.5,0.042376,0.4995,0.115358
567341,0.5,0.11561,0.4995,0.36797
567345,0.5,0.2493753,0.4995,0.068209
567348,0.5,0.049908,0.4995,0.00841
567376,0.5,0.05632,0.4995,0.01039
567377,0.5,0.089492,0.4995,0.198416
567382,0.5,0.01809,0.4995,0.06419
567383,0.5,0.10626,0.4995,0.36334
567596,0.5,0.04065,0.4995,0.05088
567597,0.5,0.03681,0.4995,0.148318
567599,0.5,0.03685,0.4995,0.01859
567601,0.5,0.08129,0.4995,0.20012
567604,0.5,0.1187,0.4995,0.4677
567608,0.5,0.0844,0.4995,0.20898
567610,0.5,0.09375,0.4995,0.28012
567611,0.5,0.117458,0.4995,0.354116
567616,0.5,0.0,0.4995,0.3489
567617,0.5,0.055482,0.4995,0.01722
567618,0.5,0.00741,0.4995,0.050281
567624,0.5,0.08745,0.4995,0.24038
567626,0.5,0.05688,0.4995,0.25911
567748,0.5,0.04186,0.4995,0.17545
567752,0.5,0.125,0.4995,0.464591
567756,0.5,0.0461653,0.4995,0.116689
567757,0.5,0.05949,0.4995,0.222922
567763,0.5,0.032422,0.4995,0.048028
567764,0.5,0.125,0.4995,0.464591
567769,0.5,0.19235,0.4995,0.0344
567777,0.5,0.07552,0.4995,0.19872
567780,0.5,0.11877,0.4995,0.3326
567782,0.5,0.02374,0.4995,0.069091
567783,0.5,0.13864,0.4995,0.03758
567790,0.5,0.09491,0.4995,0.291041
567902,0.5,0.01731,0.4995,0.03759
567907,0.5,0.032472,0.4995,0.042875
567909,0.5,0.034392,0.4995,0.038717
567910,0.5,0.05309,0.4995,0.165421
567917,0.5,0.050682,0.4995,0.024668
567920,0.5,0.04765,0.4995,0.147768
567924,0.5,0.049916,0.4995,0.127283
567929,0.5,0.0962773,0.4995,0.286635
567930,0.5,0.03043,0.4995,0.13894
567933,0.5,0.08997,0.4995,0.1928
568912,0.5,0.1606,0.4995,0.42308
595665,0.5,0.096926,0.4995,0.306041
595666,0.5,0.14551,0.4995,0.35266
595672,0.5,0.04065,0.4995,0.10558
595677,0.5,0.03309,0.4995,0.01037
599601,0.5,0.05316,0.4995,0.038591
599604,0.5,0.01184,0.4995,0.01281
599605,0.5,0.19235,0.4995,0.0344
599607,0.5,0.04998,0.4995,0.042291
599610,0.5,0.068776,0.4995,0.229148
599614,0.5,0.1187,0.4995,0.4677
599619,0.5,0.125,0.4995,0.32851
599620,0.5,0.10306,0.4995,0.308447
599621,0.5,0.08875,0.4995,0.29595
599623,0.5,0.07675,0.4995,0.26617
599624,0.5,0.126772,0.4995,0.062815
599626,0.5,0.0800053,0.4995,0.254549
599632,0.5,0.050632,0.4995,0.239312
599637,0.5,0.0813,0.4995,0.19608
599756,0.5,0.05004,0.4995,0.170193
599757,0.5,0.10116,0.4995,0.04287
599758,0.5,0.01241,0.4995,0.05533
599760,0.5,0.1212053,0.4995,0.341009
599763,0.5,0.07507,0.4995,0.18521
599764,0.5,0.058,0.4995,0.00946
599765,0.5,0.1606,0.4995,0.42308
599770,0.5,0.19235,0.4995,0.0344
599788,0.5,0.05632,0.4995,0.00636
599792,0.5,0.06311,0.4995,0.27346
599793,0.5,0.0625,0.4995,0.03057
599794,0.5,0.25,0.4995,0.0698
602943,0.5,0.125,0.4995,0.465835
602945,0.5,0.068772,0.4995,0.218005
602946,0.5,0.01123,0.4995,0.018044
602948,0.5,0.0625,0.4995,0.297401
602949,0.5,0.04381,0.4995,0.01393
602951,0.5,0.0625,0.4995,2.1E-4
602953,0.5,0.03626,0.4995,0.052753
602954,0.5,0.1243753,0.4995,0.326204
602955,0.5,0.125,0.4995,0.41198
602962,0.5,0.08752,0.4995,0.25912
602971,0.5,0.08129,0.4995,0.242216
602972,0.5,0.1606,0.4995,0.42308
602973,0.5,0.25,0.4995,0.0698
602974,0.5,0.10739,0.4995,0.02471
602978,0.5,0.06306,0.4995,0.1877
602979,0.5,0.03866,0.4995,0.04862
602980,0.5,0.143772,0.4995,0.44974
602981,0.5,0.0625,0.4995,3.9E-4
602982,0.5,0.06747,0.4995,0.00447
602985,0.5,0.112522,0.4995,0.320075
602987,0.5,0.04999,0.4995,0.04709
603107,0.5,0.06555,0.4995,0.01344
603108,0.5,0.06506,0.4995,0.238358
603109,0.5,0.05693,0.4995,0.02933
603110,0.5,0.08132,0.4995,0.214397
603111,0.5,0.125,0.4995,0.05223
603115,0.5,0.08439,0.4995,0.185117
603116,0.5,0.103772,0.4995,0.281911
603117,0.5,0.01624,0.4995,0.115864
603122,0.5,0.12183,0.4995,0.394922
603126,0.5,0.12244,0.4995,0.37224
603128,0.5,0.05688,0.4995,0.22268
603129,0.5,0.03748,0.4995,0.046951
603131,0.5,0.0837,0.4995,0.325852
627966,0.5,0.10056,0.4995,0.27011
627967,0.5,0.0625,0.4995,0.235973
627969,0.5,0.10861,0.4995,0.05043
631942,0.5,0.075,0.4995,0.230523
631943,0.5,0.050521,0.4995,0.003661
631945,0.5,0.1187,0.4995,0.4677
631946,0.5,0.25,0.4995,0.0698
631947,0.5,0.03682,0.4995,0.03231
631949,0.5,0.1187,0.4995,0.4677
631951,0.5,0.05627,0.4995,0.253021
631952,0.5,0.06311,0.4995,0.23345
631954,0.5,0.01497,0.4995,0.048777
631956,0.5,0.15625,0.4995,0.43975
634701,0.5,0.09375,0.4995,0.29655
634703,0.5,0.179368,0.4995,0.06438
634705,0.5,0.050678,0.4995,0.18859
634715,0.5,0.19235,0.4995,0.0344
638197,0.5,0.155618,0.4995,0.41106
638204,0.5,0.0231,0.4995,0.0303
638207,0.5,0.11756,0.4995,0.05409
638217,0.5,0.04312,0.4995,0.11768
638221,0.5,0.05688,0.4995,0.2773
638224,0.5,0.1606,0.4995,0.42308
638230,0.5,0.08936,0.4995,0.26498
638232,0.5,0.25,0.4995,0.0698
638341,0.5,0.03613,0.4995,0.0516
638347,0.5,0.1243753,0.4995,0.410389
638356,0.5,0.0330236,0.4995,0.114219
638368,0.5,0.10631,0.4995,4.2E-4
638375,0.5,0.07501,0.4995,0.210984
653445,0.5,0.19235,0.4995,0.0344
660235,0.5,0.06249,0.4995,0.222117
660255,0.5,0.1606,0.4995,0.42308
660258,0.5,0.0625,0.4995,0.319838
660262,0.5,0.08124,0.4995,0.24435
660265,0.5,0.096863,0.4995,0.289964
660272,0.5,0.19235,0.4995,0.0344
660385,0.5,0.125,0.4995,0.461482
660389,0.5,0.101253,0.4995,0.254054
660394,0.5,0.084396,0.4995,0.261478
660402,0.5,0.07632,0.4995,0.18676
660404,0.5,0.05688,0.4995,0.27983
660405,0.5,0.024683,0.4995,0.082075
660408,0.5,0.05627,0.4995,0.00649
660410,0.5,0.072496,0.4995,0.015988
660411,0.5,0.12561,0.4995,0.42949
660766,0.5,0.09684,0.4995,0.30966
660769,0.5,0.1606,0.4995,0.42308
660798,0.5,0.02119,0.4995,0.09186
660917,0.5,0.078216,0.4995,0.251093
660921,0.5,0.03942,0.4995,0.03506
660927,0.5,0.06991,0.4995,0.00743
660950,0.5,0.150002,0.4995,0.435775
660951,0.5,0.0788853,0.4995,0.191849
661091,0.5,0.112452,0.4995,0.270925
662191,0.5,0.05627,0.4995,0.20187
662198,0.5,0.07373,0.4995,0.230288
662202,0.5,0.11877,0.4995,0.31963
662203,0.5,0.143772,0.4995,0.45566
662205,0.5,0.01806,0.4995,0.074913
662206,0.5,0.08752,0.4995,0.28869
662207,0.5,0.0312,0.4995,0.01655
662208,0.5,0.0625,0.4995,0.220442
662210,0.5,0.08117,0.4995,0.1961
662211,0.5,0.07357,0.4995,0.2559
662212,0.5,0.0899553,0.4995,0.016686
662213,0.5,0.12244,0.4995,0.36922
662215,0.5,0.12244,0.4995,0.36361
662216,0.5,0.28125,0.1241,0.0157
662218,0.5,0.01879,0.4995,0.143121
662219,0.5,0.125,0.1241,0.00661
662221,0.5,0.05688,0.4995,0.26064
662226,0.5,0.12183,0.4995,0.399663
662228,0.5,0.19235,0.4995,0.0344
662351,0.5,0.1187,0.4995,0.4677
662363,0.5,0.12561,0.4995,0.42949
662367,0.5,0.05627,0.4995,0.00576
662368,0.5,0.00797,0.4995,0.018992
662369,0.5,0.059986,0.4995,0.237443
662370,0.5,0.02502,0.4995,0.05711
662371,0.5,0.07373,0.4995,0.19176
662377,0.5,0.09237,0.4995,0.207233
662378,0.5,0.07569,0.4995,0.27901
662381,0.5,0.036892,0.4995,0.096353
662382,0.5,0.19235,0.4995,0.0344
662851,0.5,0.0519,0.4995,0.133151
665484,0.5,0.01431,0.4995,0.02644
672206,0.5,0.00729,0.4995,0.03755
672213,0.5,0.06507,0.4995,0.24483
672217,0.5,0.04871,0.4995,0.10962
672218,0.5,0.243752,0.4995,0.065825
672220,0.5,0.04622,0.4995,0.00261
672222,0.5,0.094963,0.4995,0.305905
672224,0.5,0.237504,0.4995,0.062968
672294,0.5,0.12561,0.4995,0.36089
672296,0.5,0.048198,0.4995,0.11127
672301,0.5,0.084378,0.4995,0.262323
672303,0.5,0.12561,0.4995,0.42949
672316,0.5,0.09375,0.4995,0.28656
672399,0.5,0.084442,0.4995,0.202855
672408,0.5,0.083602,0.4995,0.258105
672409,0.5,0.06311,0.4995,0.28629
672411,0.5,0.056732,0.4995,0.192001
672413,0.5,0.09052,0.4995,0.039528
672428,0.5,0.07124,0.4995,0.17488
672429,0.5,0.0625,0.4995,0.4796
672430,0.5,0.05681,0.4995,0.02746
672433,0.5,0.086002,0.4995,0.311896
672435,0.5,0.11877,0.4995,0.32436
672454,0.5,0.00557,0.4995,0.100561
672465,0.5,0.243752,0.4995,0.066691
672496,0.5,0.00627,0.4995,0.075323
672498,0.5,0.041882,0.4995,0.026593
672513,0.5,0.109232,0.4995,0.345075
672514,0.5,0.125,0.4995,0.41198
672515,0.5,0.06555,0.4995,0.19716
672517,0.5,0.0625,0.4995,0.19413
