hostId,cpuCapacity,freeCpu,memCapacity,freeMem
5,0.5,0.21313,0.2493,4.56E-4
6,0.5,0.0,0.2493,0.009884
7,0.5,0.027586,0.2493,1.2E-5
10,0.5,0.024438,0.2493,0.0019938
13,0.5,0.0044,0.2493,0.09318
14,0.5,2.0E-5,0.2493,0.01745
19,0.5,0.0,0.2493,0.14114
21,0.5,0.15688,0.2493,2.98E-4
23,0.5,6.1E-4,0.2493,0.00226
25,0.5,0.07874,0.2493,0.00169
26,0.5,0.17561,0.2493,0.00116
27,0.5,0.06939,0.2493,6.01E-4
28,0.5,0.02814,0.2493,1.318E-4
36,0.5,0.01376,0.2493,7.19E-4
37,0.5,0.028682,0.2493,5.11E-4
38,0.5,0.041184,0.2493,9.486E-4
39,0.5,0.2493,0.2493,0.00117
41,0.5,0.13934,0.2493,5.63E-4
43,0.5,0.0,0.2493,0.00443
45,0.5,0.018772,0.2493,4.388E-4
46,0.5,0.0532,0.2493,2.5E-4
49,0.5,0.13873,0.2493,0.001627
52,0.5,0.10743,0.2493,9.1E-5
54,0.5,0.15996,0.2493,0.00286
56,0.5,0.17561,0.2493,0.00235
60,0.5,0.15124,0.2493,0.001156
61,0.5,0.23368,0.2493,0.00117
62,0.5,0.17254,0.2493,0.002369
63,0.5,0.18933,0.2493,0.00214
67,0.5,0.025002,0.2493,1.316E-4
68,0.5,0.132622,0.2493,2.1E-4
72,0.5,0.008814,0.2493,5.316E-4
73,0.5,5.295E-4,0.2493,0.00365
74,0.5,0.19439,0.2493,0.0014
75,0.5,0.087502,0.2493,0.00186
121306,0.5,0.19931,0.2493,3.03E-4
243096,0.5,0.00559,0.2493,3.49E-4
381113,0.5,0.02615,0.4995,3.01E-4
381126,0.5,0.0,0.4995,0.187901
381128,0.5,0.01061,0.4995,0.33403
381129,0.5,6.1E-4,0.4995,0.15233
381133,0.5,1.2E-5,0.4995,0.191216
381139,0.5,0.00566,0.4995,0.13242
381227,0.5,0.01001,0.4995,0.15998
381233,0.5,2.4E-4,0.4995,0.07956
381234,0.5,3.0E-5,0.4995,0.16918
381235,0.5,5.973E-4,0.4995,0.005837
381236,0.5,0.00496,0.4995,0.17311
381352,0.5,0.00627,0.4995,0.372791
381361,0.5,0.12561,0.2493,2.0E-5
381364,0.5,5.4E-4,0.4995,0.19893
381365,0.5,0.003152,0.4995,0.121783
381368,0.5,5.7E-4,0.4995,0.30274
381369,0.5,5.4E-4,0.4995,0.06097
381370,0.5,0.006242,0.4995,0.183067
381371,0.5,0.006202,0.4995,0.106338
381374,0.5,0.003184,0.4995,0.075897
381378,0.5,0.09438,0.4995,2.47E-4
381381,0.5,6.41E-4,0.4995,0.064322
381384,0.5,0.002021,0.4995,0.062074
381386,0.5,0.15002,0.4995,6.74E-4
381389,0.5,0.02502,0.4995,8.54E-4
410692,0.5,5.346E-4,0.4995,0.004721
410695,0.5,6.7E-4,0.4995,0.081371
418535,0.5,0.009992,0.4995,0.244808
418536,0.5,0.0,0.4995,0.24585
418547,0.5,0.00113,0.4995,0.19289
418548,0.5,0.015662,0.4995,7.6E-4
418549,0.5,3.99E-5,0.4995,0.02804
418551,0.5,0.00309,0.4995,0.2966
418552,0.5,0.00617,0.4995,0.083023
418559,0.5,0.003152,0.4995,0.134611
418560,0.5,0.00622,0.4995,0.35319
418561,0.5,0.0,0.4995,0.09262
418562,0.5,0.01061,0.4995,0.33403
418564,0.5,6.1E-4,0.4995,0.15551
418565,0.5,0.00368,0.4995,0.214402
418566,0.5,4.516E-4,0.4995,0.017824
418570,0.5,6.23E-4,0.4995,0.061484
418572,0.5,0.0011446,0.4995,0.002131
418574,0.5,5.853E-4,0.4995,0.102429
418581,0.5,5.789E-4,0.4995,9.98E-4
418583,0.5,0.0036179,0.4995,0.001345
418584,0.5,0.003245,0.4995,0.119143
418585,0.5,0.02615,0.4995,3.01E-4
418586,0.5,0.00622,0.4995,0.33879
418588,0.5,0.001222,0.4995,6.99E-4
418589,0.5,1.53E-5,0.4995,0.066185
418689,0.5,6.1E-4,0.4995,0.06629
418690,0.5,5.412E-4,0.4995,0.021161
418691,0.5,0.0026,0.4995,0.11903
418695,0.5,6.22E-4,0.4995,0.068383
418697,0.5,0.00309,0.4995,0.168091
418708,0.5,0.00128,0.4995,0.067882
421565,0.5,0.00315,0.4995,0.261881
421569,0.5,0.00687,0.4995,0.17749
421571,0.5,1.069E-4,0.4995,0.001514
421574,0.5,0.15002,0.4995,6.74E-4
421578,0.5,6.2E-4,0.4995,0.169291
421587,0.5,0.001186,0.4995,0.0010928
421592,0.5,7.552E-4,0.4995,4.79E-4
421593,0.5,0.00496,0.4995,0.17311
422053,0.5,0.0,0.4995,0.38
422055,0.5,0.01061,0.4995,0.33403
422069,0.5,0.09436,0.4995,9.7E-4
422080,0.5,1.2E-5,0.4995,0.197353
422082,0.5,0.0019173,0.4995,0.087051
422084,0.5,0.0,0.4995,0.09729
422087,0.5,0.09436,0.4995,9.7E-4
422090,0.5,3.2E-5,0.4995,0.099811
422091,0.5,0.00497,0.4995,0.136501
450799,0.5,5.96E-4,0.4995,0.149566
485231,0.5,0.16736,0.4995,0.00101
485241,0.5,6.7E-4,0.4995,0.05375
486699,0.5,0.00435,0.4995,0.33556
486702,0.5,5.62E-4,0.4995,0.050761
486703,0.5,0.003248,0.4995,0.202161
486704,0.5,0.0054,0.4995,0.15882
486707,0.5,0.023664,0.4995,3.76E-4
486711,0.5,3.1E-5,0.4995,0.06225
486805,0.5,0.0024673,0.4995,0.06528
486816,0.5,0.0012463,0.4995,0.086864
486820,0.5,0.003762,0.4995,0.125293
486821,0.5,1.9E-4,0.4995,0.028693
486826,0.5,0.0011006,0.4995,0.095535
486827,0.5,0.15002,0.4995,6.74E-4
486956,0.5,0.002512,0.4995,0.089549
486957,0.5,0.0,0.4995,0.131845
486958,0.5,0.0032453,0.4995,0.123589
486959,0.5,0.003142,0.4995,0.303105
486961,0.5,0.01309,0.4995,5.8E-4
487295,0.5,0.0057,0.4995,0.15557
487385,0.5,0.004987,0.4995,0.081922
487386,0.5,0.00248,0.4995,0.05255
487390,0.5,0.15002,0.4995,6.74E-4
487391,0.5,0.00626,0.4995,0.3507
487397,0.5,0.0,0.4995,0.01628
487399,0.5,0.00622,0.4995,0.33879
487402,0.5,0.15002,0.4995,6.74E-4
487403,0.5,0.0056113,0.4995,0.136201
487404,0.5,0.00255,0.4995,0.05309
487407,0.5,0.00199,0.4995,0.092811
487411,0.5,0.019312,0.4995,2.828E-4
487414,0.5,0.003762,0.4995,0.069199
487535,0.5,0.00556,0.4995,0.222351
487538,0.5,0.09436,0.4995,9.7E-4
487541,0.5,0.005062,0.4995,0.074768
487545,0.5,0.0019,0.4995,0.00102
487547,0.5,5.397E-4,0.4995,0.013498
487548,0.5,0.001982,0.4995,0.076615
495767,0.5,0.002542,0.4995,0.117595
514995,0.5,2.606E-4,0.4995,0.036057
514996,0.5,0.003093,0.4995,0.001003
567335,0.5,0.003152,0.4995,0.12637
567336,0.5,0.001292,0.4995,0.288188
567341,0.5,0.0094,0.4995,0.178151
567345,0.5,0.0055,0.4995,0.06286
567348,0.5,0.00307,0.4995,0.14972
567376,0.5,5.62E-4,0.4995,0.133843
567377,0.5,0.09359,0.4995,2.86E-4
567382,0.5,0.00622,0.4995,0.33879
567383,0.5,0.06561,0.4995,7.63E-4
567596,0.5,0.00122,0.4995,0.001684
567597,0.5,0.0,0.4995,0.28558
567599,0.5,6.1E-4,0.4995,0.289461
567601,0.5,0.00315,0.4995,0.058058
567604,0.5,9.2E-4,0.4995,0.05423
567608,0.5,2.2E-5,0.4995,0.266367
567610,0.5,0.0044033,0.4995,0.084127
567611,0.5,0.00741,0.4995,0.210975
567616,0.5,0.00305,0.4995,0.06107
567617,0.5,0.0023353,0.4995,3.57E-4
567618,0.5,0.00634,0.4995,0.213472
567624,0.5,3.0E-5,0.4995,0.09331
567626,0.5,0.00309,0.4995,0.1121
567748,0.5,0.09359,0.4995,2.86E-4
567752,0.5,0.00115,0.4995,0.222053
567756,0.5,0.00622,0.4995,7.05E-4
567757,0.5,0.01053,0.4995,3.01E-4
567763,0.5,0.0093,0.4995,0.28652
567764,0.5,5.572E-4,0.4995,0.014951
567769,0.5,0.00607,0.4995,2.93E-4
567777,0.5,0.01061,0.4995,0.33403
567780,0.5,0.00505,0.4995,0.22408
567782,0.5,0.004365,0.4995,0.106875
567783,0.5,1.0E-5,0.4995,0.093144
567790,0.5,6.22E-4,0.4995,0.19464
567902,0.5,0.15002,0.4995,6.74E-4
567907,0.5,0.003762,0.4995,0.208293
567909,0.5,3.2E-5,0.4995,0.190176
567910,0.5,0.003141,0.4995,0.350949
567917,0.5,6.1E-4,0.4995,0.18978
567920,0.5,0.002592,0.4995,0.058967
567924,0.5,0.00493,0.4995,0.163766
567929,0.5,0.005661,0.4995,0.06987
567930,0.5,0.006872,0.4995,0.165368
567933,0.5,8.2E-5,0.4995,0.266524
568912,0.5,0.15002,0.4995,6.74E-4
595665,0.5,0.034802,0.4995,2.958E-4
595666,0.5,6.1E-4,0.4995,0.15962
595672,0.5,0.0,0.4995,0.43187
595677,0.5,0.00252,0.4995,0.10463
599601,0.5,0.0,0.4995,0.0897
599604,0.5,6.059E-4,0.4995,0.040221
599605,0.5,0.00509,0.4995,0.09434
599607,0.5,5.6E-4,0.4995,0.039725
599610,0.5,0.00991,0.4995,0.217761
599614,0.5,4.373E-4,0.4995,0.028165
599619,0.5,5.82E-4,0.4995,0.031586
599620,0.5,0.00623,0.4995,0.10793
599621,0.5,0.002322,0.4995,0.061396
599623,0.5,0.001101,0.4995,9.36E-4
599624,0.5,0.0058,0.4995,0.23402
599626,0.5,5.089E-4,0.4995,0.040304
599632,0.5,0.00374,0.4995,0.081683
599637,0.5,0.16736,0.4995,0.00101
599756,0.5,0.00315,0.4995,0.061738
599757,0.5,0.0502,0.4995,8.0E-6
599758,0.5,6.2E-4,0.4995,0.20039
599760,0.5,0.001312,0.4995,0.08162
599763,0.5,0.09359,0.4995,2.86E-4
599764,0.5,0.00199,0.4995,0.06485
599765,0.5,0.005602,0.4995,0.17986
599770,0.5,5.326E-4,0.4995,0.025518
599788,0.5,0.00126,0.4995,0.247055
599792,0.5,0.0,0.4995,0.29915
599793,0.5,0.00518,0.4995,0.16363
599794,0.5,6.012E-4,0.4995,0.001822
602943,0.5,0.00439,0.4995,0.30759
602945,0.5,3.2E-5,0.4995,0.012963
