hostId,cpuCapacity,freeCpu,memCapacity,freeMem
5,0.5,0.032484,0.2493,0.0021688
6,0.5,0.027562,0.2493,6.2E-4
7,0.5,0.091902,0.2493,0.001797
10,0.5,0.232518,0.2493,0.002083
13,0.5,0.12503,0.2493,5.44E-4
14,0.5,0.06124,0.2493,3.04E-4
19,0.5,0.2493,0.2493,0.00117
21,0.5,0.15124,0.2493,0.001934
23,0.5,0.163122,0.2493,1.13E-4
25,0.5,1.106E-4,0.2493,0.005392
26,0.5,6.14E-4,0.2493,0.008168
27,0.5,0.113114,0.2493,5.118E-4
28,0.5,0.16877,0.2493,0.003054
36,0.5,0.00311,0.2493,0.0771
37,0.5,0.11949,0.2493,0.001513
38,0.5,0.13511,0.2493,9.7E-4
39,0.5,0.15311,0.2493,4.83E-4
41,0.5,0.06934,0.2493,0.00126
43,0.5,0.15124,0.2493,0.002456
45,0.5,0.18126,0.2493,1.01E-4
46,0.5,0.0,0.2493,0.0987
49,0.5,6.1E-4,0.2493,0.01316
52,0.5,0.00557,0.2493,0.0031
54,0.5,0.15124,0.2493,0.001156
56,0.5,0.10626,0.2493,5.23E-4
60,0.5,0.113132,0.2493,0.0015228
61,0.5,5.9E-4,0.2493,0.0962
62,0.5,0.00568,0.2493,0.00311
63,0.5,0.14871,0.2493,0.00109
67,0.5,0.23938,0.2493,9.3E-4
68,0.5,0.009382,0.2493,0.0018728
72,0.5,0.018722,0.2493,0.0013968
73,0.5,6.018E-4,0.2493,0.003639
74,0.5,0.032502,0.2493,2.056E-4
75,0.5,0.002392,0.2493,0.0015828
121306,0.5,0.03753,0.2493,7.5E-5
243096,0.5,0.19931,0.2493,3.03E-4
381113,0.5,0.0024373,0.4995,0.1294652
381126,0.5,0.00369,0.4995,0.219558
381128,0.5,0.00505,0.4995,0.170601
381129,0.5,0.006272,0.4995,0.32213
381133,0.5,0.005552,0.4995,0.166939
381139,0.5,5.359E-4,0.4995,0.030388
381227,0.5,0.00123,0.4995,0.168351
381233,0.5,0.0,0.4995,0.27782
381234,0.5,0.003732,0.4995,0.117584
381235,0.5,0.001682,0.4995,0.105341
381236,0.5,0.004252,0.4995,0.127338
381352,0.5,0.0054873,0.4995,0.001247
381361,0.5,0.2493,0.2493,0.00117
381364,0.5,0.00428,0.4995,0.12754
381365,0.5,0.002542,0.4995,0.238505
381368,0.5,0.0037246,0.4995,3.21E-4
381369,0.5,0.0055,0.4995,0.05563
381370,0.5,0.0,0.4995,0.315247
381371,0.5,0.004397,0.4995,0.263938
381374,0.5,0.01052,0.4995,0.27525
381378,0.5,0.0,0.4995,0.13678
381381,0.5,0.0,0.4995,0.06549
381384,0.5,0.03671,0.4995,6.6E-4
381386,0.5,0.003052,0.4995,0.092678
381389,0.5,0.16736,0.4995,0.00101
410692,0.5,0.003572,0.4995,0.273127
410695,0.5,0.0094,0.4995,0.13114
418535,0.5,0.003052,0.4995,0.069896
418536,0.5,0.025052,0.4995,0.0010558
418547,0.5,0.020522,0.4995,7.278E-4
418548,0.5,2.0E-5,0.4995,0.28468
418549,0.5,0.003151,0.4995,0.074191
418551,0.5,0.00496,0.4995,0.17311
418552,0.5,0.00178,0.4995,0.053711
418559,0.5,0.0,0.4995,0.180073
418560,0.5,0.11938,0.4995,0.001904
418561,0.5,5.1E-4,0.4995,0.12228
418562,0.5,0.004362,0.4995,0.17736
418564,0.5,0.09359,0.4995,2.86E-4
418565,0.5,1.0E-5,0.4995,0.003799
418566,0.5,0.00373,0.4995,0.252601
418570,0.5,0.0061,0.4995,0.12023
418572,0.5,0.15002,0.4995,6.74E-4
418574,0.5,0.0031,0.4995,0.11754
418581,0.5,0.001452,0.4995,0.134015
418583,0.5,0.065586,0.4995,0.002856
418584,0.5,0.09359,0.4995,0.001064
418585,0.5,2.5E-4,0.4995,0.098152
418586,0.5,0.01114,0.4995,3.01E-4
418588,0.5,0.008592,0.4995,0.239515
418589,0.5,5.196E-4,0.4995,0.018824
418689,0.5,0.0024353,0.4995,0.106375
418690,0.5,3.0E-5,0.4995,0.323933
418691,0.5,0.00483,0.4995,0.079424
418695,0.5,0.019902,0.4995,1.456E-4
418697,0.5,0.00498,0.4995,0.21561
418708,0.5,0.03671,0.4995,6.6E-4
421565,0.5,0.09359,0.4995,0.001064
421569,0.5,0.010658,0.4995,0.172721
421571,0.5,0.00305,0.4995,0.121843
421574,0.5,0.093052,0.4995,0.002331
421578,0.5,0.003151,0.4995,0.354779
421587,0.5,0.004362,0.4995,0.145123
421592,0.5,8.73E-5,0.4995,0.017362
421593,0.5,0.02615,0.4995,3.01E-4
422053,0.5,0.15002,0.4995,6.74E-4
422055,0.5,0.00124,0.4995,0.323733
422069,0.5,0.06436,0.4995,0.00124
422080,0.5,5.193E-4,0.4995,0.008517
422082,0.5,0.001158,0.4995,0.001845
422084,0.5,0.00496,0.4995,0.17311
422087,0.5,0.00919,0.4995,4.7E-5
422090,0.5,1.0E-4,0.4995,0.04905
422091,0.5,3.2E-5,0.4995,0.03936
450799,0.5,0.004361,0.4995,0.161373
485231,0.5,6.42E-4,0.4995,0.211045
485241,0.5,7.318E-4,0.4995,0.003508
486699,0.5,0.0094,0.4995,0.143534
486702,0.5,0.00122,0.4995,0.19842
486703,0.5,0.15002,0.4995,6.74E-4
486704,0.5,5.816E-4,0.4995,0.001684
486707,0.5,1.5E-4,0.4995,0.07308
486711,0.5,0.005602,0.4995,0.2005
486805,0.5,7.0E-4,0.4995,0.36019
486816,0.5,0.00315,0.4995,0.19745
486820,0.5,4.273E-4,0.4995,0.001387
486821,0.5,0.001144,0.4995,0.061306
486826,0.5,0.0019853,0.4995,0.095357
486827,0.5,6.1E-4,0.4995,0.12027
486956,0.5,0.004906,0.4995,8.738E-4
486957,0.5,0.003072,0.4995,0.121683
486958,0.5,0.00631,0.4995,0.167811
486959,0.5,6.6E-4,0.4995,0.10174
486961,0.5,0.00317,0.4995,0.103422
487295,0.5,2.3E-4,0.4995,0.14239
487385,0.5,0.00117,0.4995,0.15528
487386,0.5,0.0,0.4995,0.24585
487390,0.5,3.18E-5,0.4995,0.024313
487391,0.5,0.0018326,0.4995,0.002202
487397,0.5,0.019902,0.4995,0.0021978
487399,0.5,0.04177,0.4995,6.33E-4
487402,0.5,0.16736,0.4995,0.00101
487403,0.5,1.92E-4,0.4995,0.095352
487404,0.5,0.00857,0.4995,0.133111
487407,0.5,7.59E-5,0.4995,0.014141
487411,0.5,0.008332,0.4995,0.064176
487414,0.5,4.4E-4,0.4995,0.086547
487535,0.5,6.3E-4,0.4995,0.15745
487538,0.5,0.041783,0.4995,5.658E-4
487541,0.5,6.2E-4,0.4995,0.262346
487545,0.5,3.06E-5,0.4995,3.87E-4
487547,0.5,0.003153,0.4995,0.138008
487548,0.5,0.069372,0.4995,8.7E-4
495767,0.5,0.005431,0.4995,0.08124
514995,0.5,5.65E-5,0.4995,0.003659
514996,0.5,0.11938,0.4995,0.001904
567335,0.5,6.0E-5,0.4995,0.117521
567336,0.5,0.0055973,0.4995,0.001427
567341,0.5,0.005467,0.4995,0.182147
567345,0.5,0.0,0.4995,0.08832
567348,0.5,0.00496,0.4995,0.17311
567376,0.5,3.2E-5,0.4995,0.007034
567377,0.5,6.16E-4,0.4995,0.093445
567382,0.5,0.11938,0.4995,0.001126
567383,0.5,0.00244,0.4995,0.254993
567596,0.5,0.0055853,0.4995,1.91E-4
567597,0.5,0.00238,0.4995,0.081558
567599,0.5,0.00387,0.4995,7.78E-4
567601,0.5,0.0031553,0.4995,2.17E-4
567604,0.5,0.00991,0.4995,0.29445
567608,0.5,5.153E-4,0.4995,0.011597
567610,0.5,0.004282,0.4995,0.08522
567611,0.5,6.118E-4,0.4995,0.0292118
567616,0.5,0.00248,0.4995,0.220021
567617,0.5,3.53E-5,0.4995,0.00956
567618,0.5,0.15002,0.4995,6.74E-4
567624,0.5,0.001808,0.4995,0.003053
567626,0.5,0.0019253,0.4995,0.056175
567748,0.5,0.00297,0.4995,0.14137
567752,0.5,1.01E-4,0.4995,0.027461
567756,0.5,0.001771,0.4995,0.00149
567757,0.5,0.003151,0.4995,0.354922
567763,0.5,0.00496,0.4995,0.17311
567764,0.5,0.02615,0.4995,3.01E-4
567769,0.5,0.003152,0.4995,0.125293
567777,0.5,1.06E-5,0.4995,0.025449
567780,0.5,0.003133,0.4995,0.058673
567782,0.5,0.09359,0.4995,2.86E-4
567783,0.5,0.00246,0.4995,0.191952
567790,0.5,0.002441,0.4995,0.001397
567902,0.5,5.816E-4,0.4995,0.036414
567907,0.5,0.03187,0.4995,0.0022928
567909,0.5,0.02615,0.4995,3.01E-4
567910,0.5,0.017892,0.4995,4.428E-4
567917,0.5,0.0033353,0.4995,0.137596
567920,0.5,0.03671,0.4995,6.6E-4
567924,0.5,0.00626,0.4995,0.21801
567929,0.5,0.00626,0.4995,0.35864
567930,0.5,0.00555,0.4995,0.120771
567933,0.5,5.293E-4,0.4995,0.01097
568912,0.5,0.02926,0.4995,4.04E-4
595665,0.5,0.00626,0.4995,0.339023
595666,0.5,0.033614,0.4995,0.0013874
595672,0.5,0.09692,0.4995,0.00174
595677,0.5,0.00546,0.4995,0.002591
599601,0.5,0.005652,0.4995,0.127609
599604,0.5,2.0E-6,0.4995,0.005126
599605,0.5,0.0019,0.4995,0.103201
599607,0.5,0.004882,0.4995,0.189673
599610,0.5,0.00498,0.4995,0.26309
599614,0.5,0.002552,0.4995,0.070114
599619,0.5,0.00229,0.4995,0.16367
599620,0.5,0.027415,0.4995,2.71E-4
599621,0.5,0.001763,0.4995,6.17E-4
599623,0.5,4.913E-4,0.4995,0.001182
599624,0.5,0.0,0.4995,0.14424
599626,0.5,2.9E-4,0.4995,0.06125
599632,0.5,0.0013663,0.4995,9.33E-4
599637,0.5,8.0E-5,0.4995,0.21158
599756,0.5,0.09359,0.4995,0.001064
599757,0.5,0.001182,0.4995,0.184784
599758,0.5,0.09359,0.4995,0.001064
599760,0.5,0.0048853,0.4995,0.145888
599763,0.5,0.002662,0.4995,0.130384
