hostId,cpuCapacity,freeCpu,memCapacity,freeMem
5,0.5,0.14822,0.2493,0.0224
6,0.5,0.25628,0.2493,0.061829
7,0.5,0.3125,0.2493,0.0496
10,0.5,0.209995,0.2493,0.044969
13,0.5,0.125,0.2493,0.00441
14,0.5,0.243752,0.2493,0.057328
19,0.5,0.303128,0.2493,0.034555
21,0.5,0.306252,0.2493,0.066238
23,0.5,0.10001,0.2493,0.125383
25,0.5,0.2462493,0.2493,0.003657
26,0.5,0.3118,0.2493,0.0489
27,0.5,0.3125,0.2493,0.0709
28,0.5,0.1187,0.2493,0.2175
36,0.5,0.09937,0.2493,0.01443
37,0.5,0.18999,0.2493,0.02783
38,0.5,0.09815,0.2493,0.014
39,0.5,0.25,0.2493,0.05078
41,0.5,0.278126,0.2493,0.058558
43,0.5,0.11877,0.2493,0.01261
45,0.5,0.28125,0.2493,0.04295
46,0.5,0.293756,0.2493,0.051369
49,0.5,0.125,0.2493,0.03641
52,0.5,0.14063,0.2493,0.00277
54,0.5,0.2806253,0.2493,0.058558
56,0.5,0.03125,0.2493,0.00906
60,0.5,0.28125,0.2493,0.06452
61,0.5,0.276268,0.2493,0.0512
62,0.5,0.0586,0.2493,0.078098
63,0.5,0.27502,0.2493,0.03942
67,0.5,0.309376,0.2493,0.03853
68,0.5,0.306252,0.2493,0.065625
72,0.5,0.3118,0.2493,0.0489
73,0.5,0.176821,0.2493,0.0210082
74,0.5,0.3,0.2493,0.06546
75,0.5,0.075074,0.2493,0.0161123
121306,0.5,0.1906,0.2493,0.03192
243096,0.5,0.06742,0.2493,0.00695
381113,0.5,0.12372,0.4995,0.057643
381126,0.5,0.118752,0.4995,0.320533
381128,0.5,0.08997,0.4995,0.272272
381129,0.5,0.19235,0.4995,0.0344
381133,0.5,0.07733,0.4995,0.28118
381139,0.5,0.05435,0.4995,0.09847
381227,0.5,0.1556273,0.4995,0.387379
381233,0.5,0.168774,0.4995,0.073155
381234,0.5,0.10376,0.4995,0.311512
381235,0.5,0.09372,0.4995,0.16184
381236,0.5,0.143762,0.4995,0.372004
381352,0.5,0.129878,0.4995,0.238146
381361,0.5,0.0669,0.2493,0.15531
381364,0.5,0.1199,0.4995,0.075981
381365,0.5,0.051851,0.4995,0.091361
381368,0.5,0.1187,0.4995,0.4677
381369,0.5,0.08752,0.4995,0.26194
381370,0.5,0.125,0.4995,0.34626
381371,0.5,0.085102,0.4995,0.232553
381374,0.5,0.048021,0.4995,0.043726
381378,0.5,0.132392,0.4995,0.077633
381381,0.5,0.08551,0.4995,0.289965
381384,0.5,0.05942,0.4995,0.222961
381386,0.5,0.09872,0.4995,0.27472
381389,0.5,0.19235,0.4995,0.0344
410692,0.5,0.1292253,0.4995,0.06702
410695,0.5,0.13997,0.4995,0.08134
418535,0.5,0.04248,0.4995,0.10336
418536,0.5,0.07495,0.4995,0.216971
418547,0.5,0.15863,0.4995,0.32988
418548,0.5,0.12244,0.4995,0.383184
418549,0.5,0.15625,0.4995,0.43975
418551,0.5,0.07184,0.4995,0.213722
418552,0.5,0.10739,0.4995,0.05114
418559,0.5,0.102361,0.4995,0.296342
418560,0.5,0.14565,0.4995,0.349388
418561,0.5,0.16562,0.4995,0.38851
418562,0.5,0.01558,0.4995,0.075302
418564,0.5,0.1287,0.4995,0.36873
418565,0.5,0.1187,0.4995,0.4677
418566,0.5,0.10686,0.4995,0.23958
418570,0.5,0.04575,0.4995,0.136161
418572,0.5,0.10315,0.4995,0.19401
418574,0.5,0.081254,0.4995,0.215774
418581,0.5,0.103118,0.4995,0.285912
418583,0.5,0.0819,0.4995,0.20164
418584,0.5,0.09375,0.4995,0.29363
418585,0.5,0.125,0.4995,0.337371
418586,0.5,0.125,0.4995,0.33937
418588,0.5,0.067482,0.4995,0.117625
418589,0.5,0.08441,0.4995,0.18443
418689,0.5,0.25,0.4995,0.0698
418690,0.5,0.121812,0.4995,0.273813
418691,0.5,0.25,0.4995,0.0698
418695,0.5,0.05627,0.4995,0.04069
418697,0.5,0.1606,0.4995,0.42308
418708,0.5,0.06738,0.4995,0.22944
421565,0.5,0.13491,0.4995,0.34218
421569,0.5,0.1187,0.4995,0.4677
421571,0.5,0.1875,0.4995,0.4677
421574,0.5,0.01809,0.4995,0.061821
421578,0.5,0.17734,0.4995,0.12025
421587,0.5,0.07935,0.4995,0.20877
421592,0.5,0.06866,0.4995,0.19027
421593,0.5,0.03561,0.4995,0.063841
422053,0.5,0.15625,0.4995,0.44594
422055,0.5,0.154822,0.4995,0.045655
422069,0.5,0.125,0.4995,0.32851
422080,0.5,0.12188,0.4995,0.24041
422082,0.5,0.125,0.4995,0.32872
422084,0.5,0.083722,0.4995,0.179925
422087,0.5,0.10305,0.4995,0.358631
422090,0.5,0.1082,0.4995,0.22649
422091,0.5,0.1187,0.4995,0.4677
450799,0.5,0.25,0.4995,0.0698
485231,0.5,0.1211,0.4995,0.378051
485241,0.5,0.25,0.4995,0.0698
486699,0.5,0.04191,0.4995,0.083675
486702,0.5,0.01184,0.4995,0.068775
486703,0.5,0.11875,0.4995,0.250439
486704,0.5,0.1187,0.4995,0.4677
486707,0.5,0.1606,0.4995,0.42308
486711,0.5,0.15625,0.4995,0.43975
486805,0.5,0.12907,0.4995,0.371153
486816,0.5,0.10626,0.4995,0.319881
486820,0.5,0.08752,0.4995,0.25609
486821,0.5,0.125,0.4995,0.41198
486826,0.5,0.13925,0.4995,0.359623
486827,0.5,0.063658,0.4995,0.055076
486956,0.5,0.126712,0.4995,0.0710233
486957,0.5,0.18612,0.4995,0.08547
486958,0.5,0.15625,0.4995,0.43975
486959,0.5,0.132518,0.4995,0.361541
486961,0.5,0.0862973,0.4995,0.214633
487295,0.5,0.13864,0.4995,0.07909
487385,0.5,0.02936,0.4995,0.024187
487386,0.5,0.1343,0.4995,0.357082
487390,0.5,0.09375,0.4995,0.319838
487391,0.5,0.0719,0.4995,0.21245
487397,0.5,0.12939,0.4995,0.066
487399,0.5,0.09375,0.4995,0.29098
487402,0.5,0.08997,0.4995,0.261
487403,0.5,0.11487,0.4995,0.33854
487404,0.5,0.058091,0.4995,0.130845
487407,0.5,0.10312,0.4995,0.309407
487411,0.5,0.19235,0.4995,0.0344
487414,0.5,0.13744,0.4995,0.01692
487535,0.5,0.029984,0.4995,0.079606
487538,0.5,0.08323,0.4995,0.202613
487541,0.5,0.13128,0.4995,0.343151
487545,0.5,0.19235,0.4995,0.0344
487547,0.5,0.10626,0.4995,0.318471
487548,0.5,0.054752,0.4995,0.086878
495767,0.5,0.10625,0.4995,0.27352
514995,0.5,0.063124,0.4995,0.134044
514996,0.5,0.25,0.4995,0.0698
567335,0.5,0.10254,0.4995,0.276745
567336,0.5,0.112932,0.4995,0.230277
567341,0.5,0.08752,0.4995,0.21074
567345,0.5,0.1362,0.4995,0.25277
567348,0.5,0.24106,0.4995,0.07595
567376,0.5,0.12749,0.4995,0.23307
567377,0.5,0.06245,0.4995,0.190941
567382,0.5,0.086152,0.4995,0.063034
567383,0.5,0.19235,0.4995,0.0344
567596,0.5,0.09436,0.4995,0.27432
567597,0.5,0.25,0.4995,0.0698
567599,0.5,0.125,0.4995,0.41198
567601,0.5,0.08041,0.4995,0.20051
567604,0.5,0.25,0.4995,0.0698
567608,0.5,0.04305,0.4995,0.13657
567610,0.5,0.10626,0.4995,0.321391
567611,0.5,0.08752,0.4995,0.264188
567616,0.5,0.0455,0.4995,0.11048
567617,0.5,0.125,0.4995,0.3405
567618,0.5,0.1187,0.4995,0.4677
567624,0.5,0.083086,0.4995,0.21806
567626,0.5,0.10626,0.4995,0.285921
567748,0.5,0.109372,0.4995,0.24093
567752,0.5,0.05029,0.4995,0.00634
567756,0.5,0.03993,0.4995,0.05326
567757,0.5,0.06176,0.4995,0.176361
567763,0.5,0.125,0.4995,0.33434
567764,0.5,0.10739,0.4995,0.082572
567769,0.5,0.1606,0.4995,0.42308
567777,0.5,0.12183,0.4995,0.31096
567780,0.5,0.10739,0.4995,0.05114
567782,0.5,0.09436,0.4995,0.294323
567783,0.5,0.08757,0.4995,0.21925
567790,0.5,0.09375,0.4995,0.29098
567902,0.5,0.12183,0.4995,0.347305
567907,0.5,0.25,0.4995,0.0698
567909,0.5,0.1606,0.4995,0.42308
567910,0.5,0.08757,0.4995,0.241791
567917,0.5,0.113119,0.4995,0.224973
567920,0.5,0.10938,0.4995,0.31396
567924,0.5,0.15625,0.4995,0.43975
567929,0.5,0.070502,0.4995,0.071755
567930,0.5,0.10739,0.4995,0.05114
567933,0.5,0.1606,0.4995,0.42308
568912,0.5,0.14313,0.4995,0.31625
595665,0.5,0.0719,0.4995,0.21245
595666,0.5,0.13823,0.4995,0.33348
595672,0.5,0.12061,0.4995,0.28399
595677,0.5,0.037462,0.4995,0.05341
599601,0.5,0.08997,0.4995,0.24028
599604,0.5,0.125,0.4995,0.3265
599605,0.5,0.0719,0.4995,0.1278
599607,0.5,0.124375,0.4995,0.283984
599610,0.5,0.11874,0.4995,0.00876
599614,0.5,0.14014,0.4995,0.351503
599619,0.5,0.03232,0.4995,0.01281
599620,0.5,0.0619073,0.4995,0.064109
599621,0.5,0.063072,0.4995,0.068987
599623,0.5,0.10312,0.4995,0.238802
599624,0.5,0.0625,0.4995,0.40538
599626,0.5,0.15308,0.4995,0.418285
599632,0.5,0.1606,0.4995,0.42308
599637,0.5,0.15625,0.4995,0.44438
599756,0.5,0.1344,0.4995,0.354601
599757,0.5,0.0625,0.4995,0.4796
599758,0.5,0.09375,0.4995,0.29748
599760,0.5,0.0669,0.4995,0.40551
599763,0.5,0.0719,0.4995,0.19078
599764,0.5,0.08111,0.4995,0.19716
599765,0.5,0.112355,0.4995,0.070356
599770,0.5,0.15625,0.4995,0.43975
599788,0.5,0.125,0.4995,0.34316
599792,0.5,0.13613,0.4995,0.357374
599793,0.5,0.05627,0.4995,0.113202
599794,0.5,0.12607,0.4995,0.3504
602943,0.5,0.05571,0.4995,0.19118
602945,0.5,0.07561,0.4995,0.265905
602946,0.5,0.24106,0.4995,0.07595
602948,0.5,0.07062,0.4995,0.212618
602949,0.5,0.25,0.4995,0.0698
602951,0.5,0.09574,0.4995,0.1968
602953,0.5,0.1606,0.4995,0.42308
602954,0.5,0.09375,0.4995,0.30355
602955,0.5,0.096742,0.4995,0.062798
602962,0.5,0.1606,0.4995,0.42308
602971,0.5,0.19235,0.4995,0.0344
602972,0.5,0.08255,0.4995,0.259211
602973,0.5,0.121162,0.4995,0.274085
602974,0.5,0.05922,0.4995,0.025041
602978,0.5,0.09237,0.4995,0.286873
602979,0.5,0.16253,0.4995,0.31804
602980,0.5,0.137463,0.4995,0.354434
602981,0.5,0.11556,0.4995,0.369514
602982,0.5,0.0819,0.4995,0.19774
602985,0.5,0.05312,0.4995,0.1079
602987,0.5,0.08696,0.4995,0.209961
603107,0.5,0.09378,0.4995,0.246003
603108,0.5,0.1606,0.4995,0.42308
603109,0.5,0.083105,0.4995,0.229453
603110,0.5,0.13379,0.4995,0.24681
603111,0.5,0.0625,0.4995,0.08665
603115,0.5,0.03872,0.4995,0.05478
603116,0.5,0.053152,0.4995,0.136202
603117,0.5,0.118752,0.4995,0.322478
603122,0.5,0.143772,0.4995,0.30071
603126,0.5,0.108,0.4995,0.05114
603128,0.5,0.1875,0.4995,0.4677
603129,0.5,0.19235,0.4995,0.0344
603131,0.5,0.112454,0.4995,0.236066
627966,0.5,0.15876,0.4995,0.03508
627967,0.5,0.08752,0.4995,0.20585
627969,0.5,0.119362,0.4995,0.299413
631942,0.5,0.05004,0.4995,0.19792
631943,0.5,0.25,0.4995,0.0698
631945,0.5,0.125,0.4995,0.354031
631946,0.5,0.116316,0.4995,0.22255
631947,0.5,0.109383,0.4995,0.310327
631949,0.5,0.10686,0.4995,0.311533
631951,0.5,0.12241,0.4995,0.3387
631952,0.5,0.06255,0.4995,0.141633
631954,0.5,0.125,0.4995,0.3048
631956,0.5,0.07352,0.4995,0.02122
634701,0.5,0.12304,0.4995,0.304031
634703,0.5,0.05118,0.4995,0.11398
634705,0.5,0.04369,0.4995,0.0462
634715,0.5,0.07495,0.4995,0.216024
638197,0.5,0.15625,0.4995,0.461482
638204,0.5,0.11871,0.4995,0.234872
638207,0.5,0.125,0.4995,0.41198
638217,0.5,0.03753,0.4995,0.045511
638221,0.5,0.15625,0.4995,0.43975
638224,0.5,0.1072193,0.4995,0.243419
638230,0.5,0.25,0.4995,0.0698
638232,0.5,0.04871,0.4995,0.07562
638341,0.5,0.1606,0.4995,0.42308
638347,0.5,0.03315,0.4995,0.13105
638356,0.5,0.07041,0.4995,0.180961
638368,0.5,0.09058,0.4995,0.248573
638375,0.5,0.14237,0.4995,0.32067
653445,0.5,0.05004,0.4995,0.19163
