hostId,cpuCapacity,freeCpu,memCapacity,freeMem
5,0.5,0.3,0.2493,0.059911
6,0.5,0.07757,0.2493,0.045391
7,0.5,0.03565,0.2493,0.008856
10,0.5,0.28125,0.2493,0.04165
13,0.5,0.28125,0.2493,0.04165
14,0.5,0.07692,0.2493,0.016788
19,0.5,0.12756,0.2493,0.01449
21,0.5,0.25,0.2493,0.03804
23,0.5,0.1144,0.2493,0.02872
25,0.5,0.28125,0.2493,0.06322
26,0.5,0.3118,0.2493,0.0489
27,0.5,0.256262,0.2493,0.058341
28,0.5,0.08988,0.2493,0.014047
36,0.5,0.08741,0.2493,0.026711
37,0.5,0.13823,0.2493,0.0054
38,0.5,0.3118,0.2493,0.0489
39,0.5,0.08743,0.2493,0.01038
41,0.5,0.10938,0.2493,0.02798
43,0.5,0.11877,0.2493,0.00443
45,0.5,0.276268,0.2493,0.0525
46,0.5,0.275002,0.2493,0.02076
49,0.5,0.25,0.2493,0.03527
52,0.5,0.12872,0.2493,0.20035
54,0.5,0.275002,0.2493,0.058558
56,0.5,0.125,0.2493,0.18887
60,0.5,0.125,0.2493,0.00441
61,0.5,0.3125,0.2493,0.0634
62,0.5,0.062402,0.2493,0.020758
63,0.5,0.12817,0.2493,0.01336
67,0.5,0.306252,0.2493,0.065625
68,0.5,0.3125,0.2493,0.0696
72,0.5,0.12561,0.2493,0.17929
73,0.5,0.14993,0.2493,0.04745
74,0.5,0.05071,0.2493,0.00517
75,0.5,0.050614,0.2493,0.030658
121306,0.5,0.09866,0.2493,0.01755
243096,0.5,0.0981,0.2493,0.162
381113,0.5,0.125,0.4995,0.41198
381126,0.5,0.19235,0.4995,0.0344
381128,0.5,0.16126,0.4995,0.417673
381129,0.5,0.09375,0.4995,0.295261
381133,0.5,0.1606,0.4995,0.42308
381139,0.5,0.08752,0.4995,0.06864
381227,0.5,0.11801,0.4995,0.069141
381233,0.5,0.063222,0.4995,0.128162
381234,0.5,0.1606,0.4995,0.42308
381235,0.5,0.1875,0.4995,0.38796
381236,0.5,0.11249,0.4995,0.33883
381352,0.5,0.03374,0.4995,0.056961
381361,0.5,0.24377,0.2493,0.04019
381364,0.5,0.13312,0.4995,0.356287
381365,0.5,0.125,0.4995,0.32872
381368,0.5,0.04123,0.4995,0.079584
381369,0.5,0.058,0.4995,0.131101
381370,0.5,0.1218,0.4995,0.3514
381371,0.5,0.125,0.4995,0.332533
381374,0.5,0.19235,0.4995,0.0344
381378,0.5,0.04552,0.4995,0.124448
381381,0.5,0.09257,0.4995,0.14454
381384,0.5,0.10626,0.4995,0.309703
381386,0.5,0.125,0.4995,0.32491
381389,0.5,0.121876,0.4995,0.28146
410692,0.5,0.13925,0.4995,0.07909
410695,0.5,0.10254,0.4995,0.275501
418535,0.5,0.0137,0.4995,0.11178
418536,0.5,0.101228,0.4995,0.23812
